property,product_id,value
light_count,43124,1
light_count,43125,1
light_count,43146,1
light_count,44678,1
light_count,50659,1
light_count,50660,1
light_count,50689,1
light_count,50704,1
light_count,50705,91
light_count,50706,91
light_count,50725,1
light_count,50726,1
light_count,50731,1
light_count,50732,1
light_count,50740,36
light_count,51264,37
light_count,51265,37
light_count,51752,1
light_count,51753,1
light_count,52244,1
light_count,52745,1
light_count,52747,1
light_count,52749,1
light_count,52751,1
light_count,53290,1
light_count,53293,1
light_count,53315,1
light_count,53859,7
light_count,55823,1
light_count,55824,1
light_count,56314,1
light_count,57787,1
light_count,74018,1
light_count,74259,1
light_count,74262,1
light_count,74284,1
light_count,74287,12
light_count,74288,7
light_count,74289,37
light_count,74420,1
light_count,74507,12
light_count,74508,7
light_count,74556,3
light_count,74557,3
light_count,74570,1
light_count,74598,792
light_count,74599,19
light_count,74600,9
light_count,74601,4
light_count,74607,1
light_count,74608,7
light_count,74619,1
light_count,74620,5
light_count,74621,1
light_count,74622,1
light_count,74625,1
light_count,74811,1
light_count,74827,1
light_count,74850,1
light_count,74851,1
light_count,74891,50
light_count,75014,70
light_count,75017,4096
light_count,75018,25
light_count,75029,4
light_count,75030,1
light_count,75031,6
light_count,75032,12
light_count,75033,7
light_count,75034,6
light_count,75052,1
light_count,75100,1
light_count,75101,1
light_count,75102,9
light_count,75338,1
light_count,75339,9
light_count,75403,1
light_count,75520,1
light_count,75533,1
light_count,75534,1
light_count,75535,1
light_count,75563,75
light_count,75565,1
light_count,75566,1
light_count,75665,1
light_count,75741,8
light_count,75816,7
light_count,75817,36
light_count,75818,1
light_count,75819,1
light_count,75822,9
light_count,75835,12
light_count,75836,7
light_count,75837,1
light_count,75838,19
light_count,75868,12
light_count,75869,5
light_count,75880,12
light_count,75881,5
light_count,75998,1
light_count,76380,1
light_count,76381,1
light_count,76395,18
light_count,76455,75
light_count,76631,18
light_count,76843,109
light_count,76844,75
light_count,76962,1024
light_count,76981,181
light_count,77031,109
light_count,77032,75
light_count,78034,1
light_count,78035,1
light_count,78079,1
light_count,78112,1
light_count,78118,1
light_count,78120,1
light_count,78125,37
light_count,78126,37
light_count,78127,19
light_count,78129,36
light_count,78130,9
light_count,78132,1
light_count,78133,1
light_count,78134,1
light_count,78135,1
light_count,78136,4
light_count,78137,8
light_count,78138,1
light_count,78147,1
light_count,78149,1
light_count,78150,1
light_count,78151,37
light_count,78152,19
light_count,78153,1
light_count,78154,1
light_count,78155,1
light_count,78156,1
light_count,78157,1
light_count,78158,1
light_count,78165,7
light_count,78166,6
light_count,78327,1
light_count,78328,1
light_count,78329,1
light_count,78343,6
light_count,78344,12
light_count,78345,12
light_count,78346,24
light_count,78347,24
light_count,78355,7
light_count,78364,7
light_count,78385,19
light_count,78386,25
light_count,78387,601
light_count,78408,24
light_count,78409,18
light_count,78410,24
light_count,78412,9
light_count,78414,5
light_count,78416,9
light_count,78417,18
light_count,78419,6
light_count,78420,12
light_count,78422,18
light_count,78423,7
light_count,78424,24
light_count,78470,44
light_count,78471,44
light_count,78472,960
light_count,78480,7
light_count,78481,6
light_count,78482,240
light_count,93783,10
light_count,93784,7
light_count,93791,1
light_count,93792,1
light_count,93918,60
light_count,93919,18
light_count,93920,18
light_count,93921,18
light_count,93922,24
light_count,93923,24
light_count,93929,24
light_count,93932,1
light_count,93933,11
light_count,93934,13
light_count,93936,6
light_count,94058,1
light_count,94401,4096
light_count,94405,256
light_count,94406,64
light_count,94408,8
light_count,94409,24
light_count,94410,48
light_count,94411,203
light_count,94419,69
light_count,94420,1
light_count,94421,5
light_count,94422,5
light_count,94423,19
light_count,94425,1
light_count,94426,1
light_count,94427,1
light_count,94436,8
light_count,94442,1
light_count,94601,180
light_count,94602,20
light_count,94603,18
light_count,94604,1296
light_count,94605,5
light_count,95498,19
light_count,95523,1
light_count,95981,36
light_count,96133,42
light_count,96139,1
light_count,96140,1
light_count,96141,1
light_count,96142,1
light_count,96306,9
light_count,102425,1
light_count,108564,18
light_count,108570,6
light_count,108575,1
light_count,108576,24
light_count,108577,24
light_count,108578,2
light_count,108579,18
light_count,108583,1
light_count,108584,24
light_count,108585,32
light_count,108586,24
light_count,108587,24
light_count,108588,1
light_count,108589,5
light_count,108590,5
